Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_AI_Users,Productivity_Gain,Satisfaction_Score,AI_Investment,Cost_Savings,Adoption_Level
1301,IT,Small,64,Midjourney,2024,8,30.7,6.7,9771.2,16041.71,Low
1302,Healthcare,Large,1289,Midjourney,2024,238,20.6,6.6,119602.03,195654.89,High
1303,IT,Medium,815,GitHub Copilot,2024,130,15.1,6.5,100854.78,173259.85,Medium
1304,IT,Small,125,ChatGPT,2024,40,31.2,7.9,13786.64,18304.61,Low
1305,Retail,Large,1205,ChatGPT,2023,481,20.1,7.2,188279.19,278602.31,High
1306,IT,Medium,451,ChatGPT,2023,115,16.7,8.6,57812.22,78231.33,Medium
1307,Manufacturing,Medium,884,Claude,2022,224,22.7,7.7,153190.56,257245.93,High
1308,Education,Medium,447,Power BI AI,2024,142,31.5,7.4,71836.07,88837.4,Medium
1309,Healthcare,Small,101,ChatGPT,2022,33,26.8,7.9,13628.03,17967.04,Low
1310,Finance,Medium,377,Power BI AI,2022,126,13.1,9.1,53379.88,90227.73,Medium
1311,IT,Medium,417,ChatGPT,2024,131,31.6,7.1,66720.15,99205.85,Medium
1312,Healthcare,Small,138,ChatGPT,2023,25,31.8,8.7,22034.2,28100.82,Low
1313,Education,Medium,844,Gemini,2023,125,14.7,6.6,100493.57,124009.0,Medium
1314,Finance,Large,1516,Claude,2023,182,29.6,7.4,186887.46,295246.81,Medium
1315,Healthcare,Small,96,GitHub Copilot,2025,32,28.3,6.9,15177.56,25038.24,Low
1316,Education,Large,2815,ChatGPT,2023,1109,11.7,8.2,275691.16,490585.14,High
1317,IT,Medium,331,Claude,2023,67,19.9,7.4,33276.52,47855.89,Medium
1318,Healthcare,Small,123,Gemini,2022,34,14.3,9.6,10680.51,14966.2,Low
1319,Education,Medium,732,Gemini,2023,76,34.1,7.3,108045.12,172293.17,Medium
1320,Education,Small,149,ChatGPT,2022,22,12.9,8.0,21042.65,26285.63,Low
1321,Manufacturing,Small,71,Gemini,2023,8,25.7,7.8,12327.5,18237.22,Low
1322,Manufacturing,Small,122,Midjourney,2023,36,34.4,6.8,9861.5,13840.69,Low
1323,IT,Medium,376,Midjourney,2025,129,22.8,7.9,67539.46,85128.11,Medium
1324,Finance,Medium,461,ChatGPT,2024,159,11.3,9.5,38240.14,51592.82,Medium
1325,IT,Small,83,ChatGPT,2024,26,25.2,8.7,7313.54,12916.03,Low
1326,Retail,Large,1274,GitHub Copilot,2023,428,19.9,8.2,134197.7,240396.62,High
1327,Healthcare,Large,3768,Power BI AI,2024,985,16.7,7.7,638806.41,1000705.66,High
1328,Retail,Medium,694,Midjourney,2024,242,22.5,8.3,65540.5,108062.6,High
1329,Finance,Medium,761,GitHub Copilot,2022,144,22.6,6.7,98252.39,171841.21,Medium
1330,IT,Large,1973,ChatGPT,2023,744,12.8,8.2,313020.87,550845.34,High
1331,Retail,Medium,552,Gemini,2022,103,17.7,7.3,72588.31,107059.6,Medium
1332,Healthcare,Medium,301,Midjourney,2025,49,30.2,9.1,43109.72,58692.34,Low
1333,Healthcare,Small,162,ChatGPT,2023,43,22.6,7.1,26872.83,42294.03,Low
1334,Retail,Large,3461,GitHub Copilot,2024,512,26.8,7.1,517055.95,651862.11,High
1335,IT,Small,153,Midjourney,2024,51,17.4,8.3,17522.02,24354.57,Medium
1336,Retail,Large,1633,GitHub Copilot,2022,272,23.0,8.5,170706.03,194675.29,High
1337,Healthcare,Small,192,Claude,2024,76,20.4,9.0,32092.19,50554.34,Medium
1338,Finance,Large,2948,GitHub Copilot,2023,1064,25.8,8.3,269858.34,411249.68,High
1339,IT,Small,177,Power BI AI,2024,23,29.1,8.7,27841.86,49168.99,Low
1340,Retail,Medium,420,ChatGPT,2024,112,25.7,8.8,44237.44,48970.19,Medium
1341,Retail,Medium,342,Midjourney,2025,83,18.3,9.1,42794.26,52568.88,Medium
1342,Manufacturing,Large,1898,ChatGPT,2023,558,10.4,7.4,191310.12,216063.7,High
1343,Finance,Small,153,Power BI AI,2022,45,11.9,7.7,24538.36,34437.88,Low
1344,Manufacturing,Medium,982,GitHub Copilot,2022,313,25.2,8.8,115333.98,156697.05,High
1345,IT,Small,145,ChatGPT,2023,43,22.1,6.5,23265.17,38177.37,Low
1346,Finance,Small,185,GitHub Copilot,2024,47,18.8,8.7,28832.28,32010.74,Low
1347,IT,Medium,820,ChatGPT,2023,301,28.7,9.5,127814.66,194023.77,High
1348,Education,Large,4556,GitHub Copilot,2024,875,20.4,8.9,540438.18,817117.37,High
1349,IT,Medium,635,GitHub Copilot,2025,160,14.7,6.8,95005.92,129964.22,Medium
1350,Retail,Medium,985,GitHub Copilot,2024,256,25.9,9.0,100966.62,148431.74,High
1351,Retail,Medium,871,ChatGPT,2024,156,26.5,9.2,137446.0,224393.78,Medium
1352,IT,Small,150,Claude,2023,24,21.6,7.4,18228.61,31388.3,Low
1353,Retail,Medium,939,Claude,2023,150,22.9,8.9,116099.8,181898.24,Medium
1354,IT,Medium,431,Claude,2025,149,32.6,9.6,69018.1,108495.15,Medium
1355,IT,Medium,600,ChatGPT,2023,83,10.6,7.7,95024.3,142187.38,Medium
1356,Healthcare,Medium,847,ChatGPT,2024,243,29.1,6.6,138664.03,212664.63,High
1357,Finance,Medium,374,Gemini,2024,148,28.9,8.0,56376.65,77374.77,Medium
1358,IT,Medium,900,Power BI AI,2023,232,15.3,9.8,160300.61,249212.35,High
1359,Retail,Medium,263,ChatGPT,2024,79,26.9,7.7,45806.5,55753.38,Medium
1360,Finance,Medium,760,Power BI AI,2022,202,28.7,9.2,92250.89,114660.16,High
1361,IT,Medium,970,Midjourney,2023,102,29.5,8.5,145465.04,245357.12,Medium
1362,Retail,Large,3690,Gemini,2025,1344,24.6,9.3,532311.14,614814.3,High
1363,Retail,Small,92,ChatGPT,2022,20,12.1,8.5,15464.95,26569.41,Low
1364,Education,Small,94,Power BI AI,2024,19,30.0,9.4,8697.07,10787.73,Low
1365,IT,Medium,472,Power BI AI,2024,167,11.6,7.6,40923.18,72955.4,Medium
1366,Retail,Large,4421,ChatGPT,2024,1489,20.4,7.1,563655.82,641809.95,High
1367,Manufacturing,Small,64,ChatGPT,2025,20,34.2,8.0,6901.56,11448.34,Low
1368,Healthcare,Small,143,ChatGPT,2025,29,18.8,7.5,25387.84,30949.83,Low
1369,Manufacturing,Large,1165,Midjourney,2023,145,22.1,7.5,158837.07,264092.59,Medium
1370,IT,Medium,673,ChatGPT,2023,67,14.4,9.4,83569.54,149502.91,Medium
1371,Healthcare,Medium,430,GitHub Copilot,2024,136,24.4,8.7,67813.12,115522.5,Medium
1372,Healthcare,Medium,928,Gemini,2024,354,10.4,8.2,117936.49,183891.12,High
1373,Finance,Medium,693,GitHub Copilot,2025,153,18.2,8.0,108277.57,128655.56,Medium
1374,IT,Large,2252,GitHub Copilot,2024,571,31.7,7.8,398657.0,698696.6,High
1375,Retail,Small,240,Gemini,2023,44,15.5,7.1,39017.06,50721.99,Low
1376,Manufacturing,Large,1071,GitHub Copilot,2024,188,33.5,9.5,121824.14,196212.96,Medium
1377,Finance,Small,101,Gemini,2023,16,31.9,7.3,10738.8,11817.59,Low
1378,Manufacturing,Large,1275,GitHub Copilot,2023,229,23.9,7.2,139478.51,176574.12,High
1379,Manufacturing,Large,1327,ChatGPT,2023,494,21.7,8.0,207088.39,250192.71,High
1380,Finance,Medium,535,Power BI AI,2024,117,30.7,7.1,44429.81,55231.31,Medium
1381,Healthcare,Medium,877,Gemini,2024,291,13.1,8.6,94581.88,160513.72,High
1382,Manufacturing,Large,2067,ChatGPT,2023,353,11.2,8.9,188426.27,287505.26,High
1383,Healthcare,Small,114,Gemini,2023,13,24.2,8.7,11522.91,17163.6,Low
1384,Manufacturing,Large,2591,GitHub Copilot,2022,273,30.7,8.2,408145.73,515936.17,High
1385,Healthcare,Small,164,ChatGPT,2022,47,24.9,8.7,16273.88,21269.28,Low
1386,Education,Medium,493,Claude,2023,90,34.1,6.5,74741.26,119165.4,Medium
1387,Education,Large,2209,ChatGPT,2022,428,31.2,6.8,395785.66,585249.06,High
1388,Manufacturing,Large,3417,Power BI AI,2022,436,14.1,8.5,324776.38,577339.86,High
1389,Finance,Medium,499,ChatGPT,2022,185,26.2,7.4,48761.91,63682.41,Medium
1390,IT,Large,4184,ChatGPT,2023,1251,20.3,7.8,704831.15,1217168.68,High
1391,Manufacturing,Small,232,ChatGPT,2023,73,33.5,8.5,38584.74,64658.23,Medium
1392,IT,Medium,543,Gemini,2025,76,28.3,8.6,75129.75,103159.47,Medium
1393,Healthcare,Small,157,Claude,2024,59,30.5,8.4,22875.38,39548.57,Medium
1394,Healthcare,Small,249,Midjourney,2025,32,24.4,8.0,22875.86,40865.39,Low
1395,IT,Small,51,Claude,2022,15,23.3,6.8,4959.87,7427.81,Low
1396,Healthcare,Large,2461,GitHub Copilot,2024,269,29.6,7.3,232394.49,274455.78,High
1397,IT,Medium,527,ChatGPT,2024,92,24.4,7.7,85561.2,143271.14,Medium
1398,Finance,Medium,257,ChatGPT,2022,68,13.9,9.3,29769.2,51769.37,Medium
1399,Finance,Small,121,Midjourney,2025,26,21.5,7.5,20963.91,24801.37,Low
1400,Manufacturing,Medium,466,Gemini,2025,90,16.2,8.7,66136.54,88125.41,Medium
1401,Manufacturing,Large,3950,GitHub Copilot,2022,1121,33.5,8.7,346337.2,466954.79,High
1402,Finance,Medium,681,ChatGPT,2023,157,32.5,9.7,84724.25,137678.59,Medium
1403,Finance,Medium,712,GitHub Copilot,2023,104,30.7,6.6,86805.82,105707.14,Medium
1404,Manufacturing,Medium,385,GitHub Copilot,2024,149,15.5,9.4,66770.71,116280.82,Medium
1405,Education,Medium,707,ChatGPT,2022,236,20.0,8.0,119737.14,186866.39,High
1406,IT,Large,3541,ChatGPT,2024,885,20.8,7.3,477139.65,616497.46,High
1407,Manufacturing,Small,169,ChatGPT,2023,17,34.5,9.7,20198.12,32516.14,Low
1408,Healthcare,Medium,703,GitHub Copilot,2022,150,25.5,8.0,111087.31,199772.31,Medium
1409,IT,Medium,779,ChatGPT,2025,120,25.6,7.2,86252.16,127870.64,Medium
1410,Finance,Small,161,GitHub Copilot,2024,51,27.3,7.6,25839.92,29371.56,Medium
1411,IT,Small,59,ChatGPT,2022,20,34.4,6.9,6085.7,10393.69,Low
1412,Manufacturing,Medium,303,ChatGPT,2023,31,31.4,8.9,52926.71,87177.22,Low
1413,Healthcare,Small,91,Gemini,2023,35,23.6,7.4,13735.89,17719.91,Low
1414,Manufacturing,Medium,824,ChatGPT,2023,288,30.1,7.2,84548.92,141375.41,High
1415,Manufacturing,Small,77,ChatGPT,2024,14,17.0,7.6,11263.53,19254.37,Low
1416,Retail,Medium,477,Gemini,2024,78,15.2,7.5,81605.29,121036.18,Medium
1417,Retail,Small,179,GitHub Copilot,2024,20,10.9,7.8,26799.23,33107.9,Low
1418,Education,Small,71,ChatGPT,2023,9,12.8,8.6,11893.34,19664.02,Low
1419,IT,Medium,299,GitHub Copilot,2023,96,19.0,8.7,32012.25,37033.72,Medium
1420,Manufacturing,Small,184,ChatGPT,2023,37,29.0,8.2,26457.39,47348.73,Low
1421,Retail,Medium,387,GitHub Copilot,2023,104,31.3,7.2,67122.56,106212.15,Medium
1422,Retail,Medium,253,Gemini,2024,44,21.8,8.1,25173.73,39182.03,Low
1423,Retail,Large,2641,Midjourney,2022,363,34.5,8.7,434942.92,577182.55,High
1424,Education,Medium,905,ChatGPT,2022,193,13.6,6.6,114398.04,201356.95,Medium
1425,Healthcare,Medium,623,ChatGPT,2022,86,25.1,9.3,52643.3,84961.33,Medium
1426,Healthcare,Medium,571,GitHub Copilot,2022,61,25.6,9.2,93759.09,134816.14,Medium
1427,Retail,Medium,925,ChatGPT,2023,276,34.1,6.7,156360.55,235137.63,High
1428,Finance,Medium,871,ChatGPT,2024,176,32.9,7.8,82159.82,131480.62,Medium
1429,Healthcare,Medium,605,Gemini,2023,212,25.4,8.4,63744.95,103868.19,High
1430,IT,Large,3708,Gemini,2024,388,28.2,7.6,543242.76,809217.08,High
1431,Healthcare,Small,93,Power BI AI,2024,23,18.0,9.5,13437.6,17492.75,Low
1432,Healthcare,Large,2268,Claude,2023,399,10.3,8.3,374480.99,662959.48,High
1433,Finance,Medium,575,Midjourney,2023,172,34.7,7.2,68419.24,98252.3,Medium
1434,IT,Small,216,Power BI AI,2023,56,31.8,9.8,29866.63,49839.39,Medium
1435,Healthcare,Small,130,GitHub Copilot,2025,36,27.4,7.7,20000.58,31333.55,Low
1436,IT,Medium,525,Claude,2025,131,28.3,8.5,51798.6,57909.94,Medium
1437,Healthcare,Medium,292,ChatGPT,2022,113,12.7,8.1,40458.46,59836.53,Medium
1438,IT,Small,88,Power BI AI,2024,10,11.2,7.5,15246.39,22355.01,Low
1439,Healthcare,Medium,991,Gemini,2023,389,23.6,6.9,167839.25,193392.26,High
1440,Manufacturing,Large,4979,Claude,2024,1033,32.8,6.6,555543.45,633217.86,High
1441,Retail,Medium,365,Gemini,2023,119,21.4,7.9,63317.64,80768.95,Medium
1442,IT,Medium,616,ChatGPT,2025,147,11.9,7.0,53044.05,76887.99,Medium
1443,IT,Small,142,Midjourney,2024,56,10.0,8.5,20113.28,28565.08,Medium
1444,Healthcare,Medium,466,Power BI AI,2024,180,13.8,8.1,65324.19,98457.64,Medium
1445,Finance,Small,50,ChatGPT,2024,5,25.5,8.8,5074.58,5731.1,Low
1446,Healthcare,Small,57,ChatGPT,2025,14,12.0,8.4,9735.71,13410.15,Low
1447,Healthcare,Small,96,Midjourney,2023,27,23.1,7.6,12191.19,17698.48,Low
1448,IT,Small,115,Gemini,2025,38,16.9,9.6,10629.98,18204.84,Low
1449,Manufacturing,Small,119,Gemini,2025,28,20.6,9.8,9644.87,16652.31,Low
1450,IT,Large,1861,ChatGPT,2025,234,30.4,7.4,173478.63,244240.38,High
1451,Education,Medium,523,Gemini,2025,112,15.4,8.0,44369.37,74289.47,Medium
1452,Retail,Medium,347,Claude,2024,120,25.8,9.1,48530.14,67451.98,Medium
1453,Manufacturing,Medium,661,GitHub Copilot,2022,160,10.5,9.2,107402.83,177367.13,Medium
1454,Healthcare,Large,4322,Gemini,2022,1005,14.1,7.1,433191.44,593773.31,High
1455,IT,Medium,838,Power BI AI,2025,151,14.9,8.1,67654.6,75642.35,Medium
1456,Finance,Medium,444,Midjourney,2024,172,11.2,6.8,37476.52,46084.64,Medium
1457,Finance,Medium,250,ChatGPT,2024,59,21.3,9.6,44600.79,73927.55,Medium
1458,Retail,Medium,669,GitHub Copilot,2025,204,33.7,7.0,79085.13,117703.37,High
1459,IT,Small,234,ChatGPT,2023,77,20.3,8.7,32283.09,36013.5,Medium
1460,Manufacturing,Small,203,Gemini,2024,39,19.8,7.3,18208.4,22311.16,Low
1461,Retail,Medium,619,ChatGPT,2024,143,25.7,8.6,101748.44,135065.56,Medium
1462,Education,Large,3604,ChatGPT,2023,803,34.5,7.1,576336.53,768795.41,High
1463,Retail,Medium,948,GitHub Copilot,2024,114,14.5,9.7,160225.09,249405.19,Medium
1464,Finance,Medium,887,GitHub Copilot,2025,124,26.9,7.8,82757.97,100229.48,Medium
1465,Manufacturing,Large,2767,ChatGPT,2023,570,17.6,8.9,415250.75,627989.55,High
1466,Manufacturing,Small,198,GitHub Copilot,2024,53,15.3,8.9,16338.94,22031.14,Medium
1467,Retail,Medium,895,ChatGPT,2024,200,14.9,8.2,83280.16,117289.9,High
1468,Healthcare,Large,2627,Gemini,2024,489,10.2,8.1,285193.95,460367.44,High
1469,IT,Medium,417,ChatGPT,2024,49,10.8,8.9,48440.68,57536.04,Low
1470,Healthcare,Medium,402,ChatGPT,2025,109,32.3,8.5,64728.48,90669.8,Medium
1471,Retail,Large,2664,ChatGPT,2023,411,29.8,7.8,329269.12,499117.53,High
1472,Finance,Small,154,ChatGPT,2022,23,23.0,7.2,16682.58,23025.61,Low
1473,Retail,Small,240,Midjourney,2023,45,16.6,7.6,32577.72,51958.55,Low
1474,Education,Large,1622,Gemini,2025,647,28.0,7.4,272455.84,309088.79,High
1475,IT,Large,2140,ChatGPT,2025,229,15.2,7.9,247506.26,430217.39,High
1476,IT,Medium,821,ChatGPT,2025,241,33.4,7.5,129873.24,212485.74,High
1477,Education,Large,3795,ChatGPT,2023,1478,20.7,8.6,579159.22,785845.5,High
1478,IT,Small,133,Claude,2023,29,16.7,7.2,21059.05,36568.55,Low
1479,Healthcare,Large,3998,Claude,2022,1188,26.0,6.6,634870.46,1099769.38,High
1480,Healthcare,Large,4793,ChatGPT,2025,1738,17.6,9.3,794310.79,1298901.22,High
1481,IT,Medium,464,Midjourney,2023,53,26.7,7.3,48421.7,63637.4,Medium
1482,IT,Small,238,ChatGPT,2025,47,26.6,9.0,38364.32,67598.88,Low
1483,Healthcare,Large,3952,Power BI AI,2024,492,26.2,8.6,568436.15,747494.65,High
1484,Manufacturing,Large,1463,Midjourney,2023,220,30.9,8.3,144719.34,232168.72,High
1485,Finance,Medium,988,Claude,2025,375,33.3,7.8,125356.44,199811.24,High
1486,Manufacturing,Small,173,Claude,2022,38,32.2,6.7,30472.51,48006.81,Low
1487,Education,Small,180,Gemini,2025,25,34.4,8.4,32318.53,56171.55,Low
1488,IT,Small,128,GitHub Copilot,2023,32,21.0,9.4,16710.67,24321.22,Low
1489,IT,Large,3357,GitHub Copilot,2024,1211,23.3,8.0,406435.09,679696.18,High
1490,Manufacturing,Large,4199,GitHub Copilot,2024,743,28.8,8.2,470646.82,714081.87,High
1491,Manufacturing,Medium,909,ChatGPT,2023,246,22.0,9.3,82301.34,122437.76,High
1492,Finance,Small,211,ChatGPT,2022,25,28.1,9.6,25964.31,30726.12,Low
1493,Finance,Small,220,Claude,2024,37,28.7,9.5,19976.64,25227.41,Low
1494,Retail,Small,162,GitHub Copilot,2025,32,21.1,8.7,21204.08,36110.8,Low
1495,Manufacturing,Small,147,GitHub Copilot,2025,36,34.7,9.0,15414.49,22765.3,Low
1496,Manufacturing,Large,3410,ChatGPT,2024,1219,18.1,9.6,314360.91,349818.48,High
1497,Manufacturing,Small,121,ChatGPT,2023,20,11.7,7.1,16402.15,21387.63,Low
1498,Finance,Medium,783,Power BI AI,2025,251,23.4,9.3,89208.98,142397.99,High
1499,Manufacturing,Small,159,Power BI AI,2024,29,18.2,6.6,24818.09,28042.4,Low
1500,Manufacturing,Small,114,Power BI AI,2023,40,14.2,9.3,9270.81,13519.12,Low
